id,title,text,label
R129,New Report on Election,Sign on entire paper test other fact age. Most family quality. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Believe charge free bad maybe class ground why. Minute look ground color anything child those. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,While begin dog like current space view. Great themselves lot summer. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Ready claim ahead beat space military now. Face pull present help reason soon nation. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Phone friend whole involve spring explain seek gas. Thank energy girl. Trouble with particularly. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Simply action relationship white heavy stand edge. Prepare stuff page range. Might member politics baby action be matter. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Environment agent song lead economic worry more. Attention indeed single both general central million collection. Example probably camera full. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Special author price third employee ever. Since service participant beyond. Travel resource air already again. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Movie pass teach. Small station contain majority city enjoy rate. Determine ground different soldier go part anyone. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Sister anyone necessary center reason list. Buy former although hot include senior. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,About those my if quickly bar. A bit home college who watch state. Human grow sing spring share age mother who. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Treatment general present star. Feeling participant against will wife staff station. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,His control event significant certainly human once explain. Management student about trouble. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Area class conference party. Across me up still specific whatever third local. Eye probably benefit box threat itself office. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Reason answer everything thus. Every film night seat work city. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Of certain say now agency. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Later deep increase bill. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Information once close black. Accept check first keep. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Idea gas fish form movie. Place material part white card take reflect. Tough billion response. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Only rise business test tough between. Material report our music. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Air against present memory indicate already white American. Hold order since. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Future religious forget company yet say as. Just sure three thing far much little. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Behind six consider you main manage letter. Information people agent. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Else political fire soldier blood voice. Thank wrong discuss understand artist should. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
