id,filtered_words_str,label_index
R129,sign entire paper test fact age. family quality. experts discuss ongoing developments election.,1.0
R227,believe charge free bad maybe class ground why. minute look ground color anything child those. experts discuss ongoing developments climate change.,1.0
F231,begin dog like current space view. great lot summer. — shocking claims aliens surface internet.,0.0
R066,ready claim ahead beat space military now. face pull present help reason soon nation. experts discuss ongoing developments policy.,1.0
F095,phone friend whole involve spring explain seek gas. thank energy girl. trouble particularly. — shocking claims mind control surface internet.,0.0
R174,simply action relationship white heavy stand edge. prepare stuff page range. might member politics baby action matter. experts discuss ongoing developments policy.,1.0
R201,environment agent song lead economic worry more. attention indeed single general central million collection. example probably camera full. experts discuss ongoing developments public health.,1.0
R072,special author price third employee ever. since service participant beyond. travel resource air already again. experts discuss ongoing developments education.,1.0
R064,movie pass teach. small station contain majority city enjoy rate. determine ground different soldier go part anyone. experts discuss ongoing developments research.,1.0
F037,sister anyone necessary center reason list. buy former although hot include senior. — shocking claims miracle drug surface internet.,0.0
R170,quickly bar. bit home college watch state. human grow sing spring share age mother who. experts discuss ongoing developments technology breakthrough.,1.0
F110,treatment general present star. feeling participant wife staff station. — shocking claims celebrity scandal surface internet.,0.0
F048,control event significant certainly human explain. management student trouble. — shocking claims secret cure surface internet.,0.0
F082,area class conference party. across still specific whatever third local. eye probably benefit box threat office. — shocking claims hoax surface internet.,0.0
F187,reason answer everything thus. every film night seat work city. — shocking claims miracle drug surface internet.,0.0
F027,certain say agency. — shocking claims miracle drug surface internet.,0.0
F202,later deep increase bill. — shocking claims hoax surface internet.,0.0
F197,information close black. accept check first keep. — shocking claims secret cure surface internet.,0.0
R128,idea gas fish form movie. place material part white card take reflect. tough billion response. experts discuss ongoing developments climate change.,1.0
F157,rise business test tough between. material report music. — shocking claims government cover-up surface internet.,0.0
F117,air present memory indicate already white american. hold order since. — shocking claims hoax surface internet.,0.0
F173,future religious forget company yet say as. sure three thing far much little. — shocking claims secret cure surface internet.,0.0
F024,behind six consider main manage letter. information people agent. — shocking claims aliens surface internet.,0.0
F096,else political fire soldier blood voice. thank wrong discuss understand artist should. — shocking claims celebrity scandal surface internet.,0.0
R247,necessary become see three major purpose lead. experience government range factor soon. experts discuss ongoing developments public health.,1.0
F226,remember always purpose law. high speech note. — shocking claims government cover-up surface internet.,0.0
F100,five start change ready century. study turn carry fine tax policy television allow. — shocking claims flat earth surface internet.,0.0
F246,accept black resource position. deal parent space american require. — shocking claims government cover-up surface internet.,0.0
F183,idea oil exactly. heart across movement kid. cultural adult spring culture response figure sister. — shocking claims aliens surface internet.,0.0
R063,land interesting large general image sound pm nation. born say even. analysis wonder name range listen enter. experts discuss ongoing developments policy.,1.0
R005,military couple commercial later amount. face student performance growth happy. experts discuss ongoing developments election.,1.0
R084,media act several appear win environmental million. hear owner full report example. amount place fill cover five piece. experts discuss ongoing developments election.,1.0
R124,tax part hard ten. experts discuss ongoing developments education.,1.0
R118,degree individual decide whole guy institution possible. war work value develop tell. believe level ball whatever parent newspaper. institution kitchen staff away. experts discuss ongoing developments research.,1.0
F001,audience candidate high rise reality station. across follow magazine view pretty. happen since husband behavior. — shocking claims aliens surface internet.,0.0
F007,economy capital nice fire team general machine. raise learn assume grow test physical. factor example south play treat. — shocking claims immortal jellyfish surface internet.,0.0
F046,current chair discover his. girl represent similar particular always. — shocking claims mind control surface internet.,0.0
R103,peace sing remain. human ability bring each. experts discuss ongoing developments research.,1.0
R037,position mrs pattern join position set do. indeed oil collection past. experts discuss ongoing developments budget report.,1.0
F193,half floor. edge coach sit theory build. customer behind build together woman. — shocking claims secret cure surface internet.,0.0
R166,fill range special. growth similar state act nice fine say. seek bill involve professor specific last analysis. experts discuss ongoing developments election.,1.0
F017,chance value direction explain. way happen trade bill debate. morning statement general fill manage few. — shocking claims immortal jellyfish surface internet.,0.0
R008,actually care coach you. according prepare detail arm. experts discuss ongoing developments economic growth.,1.0
F071,floor team occur example exist. begin film son effort these. — shocking claims celebrity scandal surface internet.,0.0
F028,war card reveal small spend. image remain article set. — shocking claims mind control surface internet.,0.0
F227,oil traditional know executive accept. — shocking claims immortal jellyfish surface internet.,0.0
R200,kitchen standard billion those. meeting dark like reflect business break. relationship government reality inside political. experts discuss ongoing developments public health.,1.0
R225,avoid list piece inside. season field south several seek experience term. experts discuss ongoing developments climate change.,1.0
R062,name past fish million. year window investment able control. economy development place. experts discuss ongoing developments budget report.,1.0
F033,difference show economy work professional environment. increase newspaper improve pattern leader. laugh vote build. — shocking claims hoax surface internet.,0.0
F012,catch shoulder trade tax. resource dinner will. — shocking claims hoax surface internet.,0.0
R121,receive whose try child any. head. seat economy brother tree statement base relationship process. experts discuss ongoing developments research.,1.0
F210,avoid chance wear travel management. eat society hour alone ever manager. debate leg tough change close many. — shocking claims aliens surface internet.,0.0
F151,form congress day better one religious. director attorney book support. — shocking claims hoax surface internet.,0.0
F099,land baby growth give whose him. ever data fund man politics. — shocking claims secret cure surface internet.,0.0
R090,meet assume require move. major song environmental beat. compare government wife behavior interest continue. experts discuss ongoing developments technology breakthrough.,1.0
R125,prove change attack no. site education. experts discuss ongoing developments budget report.,1.0
R091,measure thousand information. kid difference responsibility them. experts discuss ongoing developments climate change.,1.0
R157,leave local letter hard maintain general. need million camera floor officer total. sort young sense vote. experts discuss ongoing developments climate change.,1.0
F098,one sort small. keep parent everybody. — shocking claims miracle drug surface internet.,0.0
F164,standard person top idea. enjoy reflect word foot professor garden benefit. season might always lose. — shocking claims immortal jellyfish surface internet.,0.0
R050,rich office sister site president. difference couple bar approach. experts discuss ongoing developments economic growth.,1.0
R249,region laugh fight on. onto sing determine avoid respond address many. really agree share skin. experts discuss ongoing developments climate change.,1.0
R093,open story member. population box laugh back. shake continue lawyer church coach town way. miss range attack. experts discuss ongoing developments election.,1.0
R131,soon computer teacher wrong. matter cost across. experts discuss ongoing developments education.,1.0
F107,charge rule place information movement so. bill card design. community measure guy eight among appear series. — shocking claims flat earth surface internet.,0.0
F153,piece beautiful lay special make. sing explain blood agreement suffer food. — shocking claims hoax surface internet.,0.0
F091,two arrive. expect wonder information sign front fight early. attack thing station tough government. — shocking claims flat earth surface internet.,0.0
R246,office particularly find painting. remember thus lead. experts discuss ongoing developments economic growth.,1.0
F004,offer pick form task office positive herself. — shocking claims secret cure surface internet.,0.0
F220,social degree pay read measure newspaper. put brother power. thing young difficult military. page almost create i. — shocking claims celebrity scandal surface internet.,0.0
F121,recognize rich drop day play floor. executive floor treat deal shoulder. — shocking claims hoax surface internet.,0.0
F245,political area never finish guy. budget lawyer suggest inside. — shocking claims mind control surface internet.,0.0
R035,especially take buy book. identify fall compare effort top consider. experts discuss ongoing developments climate change.,1.0
R024,whole source case. manage thing. experts discuss ongoing developments education.,1.0
F079,old list environment stock try box. media party season share. — shocking claims miracle drug surface internet.,0.0
R094,house others lawyer keep say. safe let short dark significant let. experts discuss ongoing developments policy.,1.0
